"origin","destination","distance"
31,6,1591.48368901588
32,6,663.713456251938
33,6,781.300637203563
34,6,786.996260152831
35,6,1143.88205928015
36,6,1138.56443212064
37,6,1809.98789822628
38,6,1797.78734056757
39,6,611.453418051836
40,6,1422.9889782252
41,6,418.032901286143
42,6,760.143080386851
43,6,964.678870479424
44,6,1527.93350833312
45,6,766.399276912268
46,6,1817.42844568454
47,6,1410.1666610884
48,6,1086.86670891037
49,6,637.832353402618
50,6,765.14654132479
51,6,653.193689421999
52,6,628.394517030746
53,6,1146.83334447812
54,6,1332.20896833726
55,6,1471.93126648928
1,7,1386.23783729309
2,7,1596.65086962935
3,7,79.19266000273
4,7,662.600441817943
5,7,2194.59664868191
6,7,771.261759762991
7,7,0
8,7,834.692716181167
9,7,972.104467249223
10,7,21.3656122001539
11,7,1000.89207422824
12,7,1384.91650618051
13,7,492.110921279504
14,7,1329.77260192272
15,7,556.060189742327
16,7,1404.02325717452
17,7,972.104467249223
18,7,633.343009809493
19,7,21.3655663719201
20,7,1748.05997208775
21,7,1156.83170991389
22,7,1331.84374260871
23,7,344.260994859135
24,7,477.731709231771
25,7,1741.03439218372
26,7,344.260994859135
27,7,689.53136031325
28,7,141.245454593918
29,7,1055.7857440003
30,7,536.236498659045
31,7,1387.24518689519
32,7,635.218306777486
33,7,11.7206589165094
34,7,951.775163412558
35,7,970.508117047411
36,7,653.382720401704
37,7,1539.57078557456
38,7,1539.80162104049
39,7,1008.81528572168
40,7,1022.36567848007
41,7,819.729797524049
42,7,306.762648165356
43,7,1332.28409186202
44,7,1358.36886580715
45,7,1040.79055173138
46,7,1572.82177875422
47,7,703.181356762377
48,7,1535.77896068244
49,7,1009.96160403064
50,7,981.400969047818
51,7,1252.46903686628
52,7,614.050893043047
53,7,1591.31491310106
54,7,612.519052726033
55,7,1105.42617768076
1,8,2104.2881590633
2,8,2379.4384887832
3,8,761.378981257547
4,8,238.241494095214
5,8,2423.68418363629
6,8,693.653769578874
7,8,834.692716181167
8,8,0
9,8,177.480069158405
10,8,853.918130018893
11,8,1834.49728625335
12,8,2055.75657067814
13,8,382.429632198663
14,8,2024.68068017066
15,8,301.929192808797
16,8,2121.78115662046
17,8,177.480069158405
18,8,222.830352423421
19,8,853.918087036094
20,8,2106.94218119138
21,8,335.461660804973
22,8,2005.38708715423
23,8,524.189173907957
24,8,375.733346765945
25,8,2529.5639948226
26,8,524.189173907957
27,8,1502.31762114897
28,8,953.490150276279
29,8,333.166091207474
30,8,1369.10260892998
31,8,2105.93147255105
32,8,206.731120459767
33,8,845.728723614468
34,8,121.671333694653
35,8,1652.42485348752
36,8,1458.60783656219
37,8,2294.41260214734
38,8,2289.00621302244
39,8,279.732506737516
40,8,1814.63317017715
41,8,297.70891422774
42,8,572.680847286839
43,8,1651.10732674193
44,8,2057.87640222487
45,8,214.952405258539
46,8,2316.63362357203
47,8,1520.65965150127
48,8,1780.51942200607
49,8,257.560244390514
50,8,147.464628359545
51,8,1339.01361476428
52,8,221.377864436442
53,8,1840.4857324997
54,8,1426.57036897002
55,8,1887.74727523897
1,9,2273.2344264768
2,9,2539.65069314389
3,9,895.466543728431
4,9,319.144779060989
5,9,2589.29092370141
6,9,864.977072982402
7,9,972.104467249223
8,9,177.480069158405
9,9,0
10,9,990.020160761354
11,9,1972.20874345676
12,9,2228.45486949964
13,9,489.778930881787
14,9,2195.50571716263
15,9,417.412856606987
16,9,2290.80721919698
17,9,0
18,9,338.799297044233
19,9,990.020120138538
20,9,2281.33355391224
21,9,187.338099873406
22,9,2177.75992570597
23,9,640.778167401154
24,9,496.115865978452
25,9,2688.76144680265
26,9,640.778167401154
27,9,1652.26491243769
28,9,1080.52138712528
29,9,402.219169435831
30,9,1508.27433198274
31,9,2274.81785180337
32,9,339.198852887512
33,9,982.563070996975
34,9,86.6546806857442
35,9,1822.79399344866
36,9,1610.59260452509
37,9,2459.36369634464
38,9,2454.75007605152
39,9,360.095354347972
40,9,1971.31768948706
41,9,455.867828302409
42,9,687.31752852504
43,9,1825.84737684549
44,9,2228.41522295432
45,9,202.965224348259
46,9,2483.16767564597
47,9,1638.36449732161
48,9,1951.03424958733
49,9,328.186246857394
50,9,138.094402101217
51,9,1504.00641219699
52,9,366.239237343275
53,9,2010.83944869684
54,9,1543.71061538387
55,9,2046.82058588311
1,10,1377.19520334607
